,x,y
86,11.229265,-3.8338873
87,10.9241295,-3.2314901
88,12.018897,-3.4242349
89,11.792853,-3.4999645
90,0.31903523,-7.939942
91,19.648684,-0.94022197
92,12.045576,-3.2359676
93,12.340427,-2.8520126
94,11.382614,-3.46019
95,11.889767,-3.1547048
96,-9.17169,-5.3129425
97,11.549013,-2.863399
98,11.924031,-3.273258
99,7.3814077,5.510173
100,12.681712,-3.0578861
101,-10.920911,-1.5109415
102,-6.3666396,5.959546
103,12.216556,10.527094
104,13.608569,15.272464
105,11.751072,11.100716
106,9.81299,12.095382
107,-16.541418,-1.7660048
108,-10.207993,-6.064048
109,-5.9984403,-0.64150834
110,-12.57609,-16.919441
111,14.529652,-1.8557752
112,-15.670577,5.4885345
113,-16.074121,-9.901915
114,-15.751831,5.7085867
115,-15.699305,5.4680295
116,-9.5336485,6.4579434
117,8.653236,-2.6490216
118,3.8688931,0.06873824
119,4.193265,-0.9307097
120,6.984407,2.6804805
121,8.904253,0.3827151
122,4.345533,3.850649
123,9.314096,9.475911
124,10.344384,8.64108
125,15.298022,7.158723
126,9.284204,7.4624414
127,-5.941281,-5.2916384
128,8.416428,10.065204
129,8.479104,11.074997
130,10.832897,9.492137
131,10.989681,9.549442
132,11.239964,10.113262
133,-6.8802238,-1.1882852
134,7.8651404,-13.7552595
135,9.016623,10.12339
136,8.479078,10.053709
137,8.979731,9.351331
138,10.772059,14.024009
139,7.8589473,10.2709055
140,9.71851,11.265311
141,9.013833,9.719199
142,6.9132113,8.1750145
143,1.2872066,-7.34683
144,22.579315,-1.0115793
145,22.355883,-0.9659375
146,22.61265,-1.080206
147,-11.466793,-3.4172535
148,-10.0249605,1.456712
149,2.643862,-4.098621
150,-8.194525,0.47514075
151,22.81088,-0.94698185
152,-1.8580341,-5.5795646
153,22.277977,-1.0406888
154,22.879194,-2.1149328
155,21.960623,-1.0928797
156,21.159262,-1.2674708
157,23.28987,-1.0336933
158,22.085606,-0.95057863
159,22.90558,-2.1881652
160,21.507595,0.11407631
161,2.305349,-0.89705104
162,11.490163,-13.797857
163,21.480692,-1.3456992
164,1.7594095,1.450331
165,1.6451972,1.4717035
166,2.837501,1.3592257
167,2.070258,1.4065584
168,2.7068563,1.6151911
169,-13.983187,2.810178
170,1.6359477,1.4685818
171,-5.984699,1.4082596
172,1.7026454,2.2980008
173,-1.5036006,3.1201575
174,1.7148218,-0.32551146
175,-3.0956967,-1.7361001
176,-2.4804003,-6.8180304
177,-0.93714416,2.1500678
178,-1.1888103,0.99937123
179,-0.64193743,-1.8347564
180,2.6677299,-2.591665
181,1.2955902,0.51430154
182,-10.99118,-0.7171549
183,1.2805774,1.0636599
184,13.8994875,-10.231334
185,15.58189,-6.231807
186,15.529413,-5.010607
187,15.322206,-0.76902586
188,11.765292,-4.670605
189,15.686376,-5.9410133
190,-12.9953375,-10.885858
191,5.7496896,-3.11195
192,15.3029375,-5.5583916
193,3.7969313,-1.3674736
194,12.455027,-4.875165
195,15.483197,-5.159223
